Terminal;Moega;ID Vagão;Produto;Chegada_Trem;Data/Hora Encoste;Data/Hora Início Descarga;Data/Hora Fim Descarga
DDD;Moega LLL;487762;Soja;20/01/2022 18:20;20/01/2022 20:35;20/01/2022 23:10;20/01/2022 23:20
DDD;Moega LLL;1165779;Soja;20/01/2022 18:20;20/01/2022 20:35;20/01/2022 23:20;20/01/2022 23:30
DDD;Moega LLL;8405295;Soja;20/01/2022 18:20;20/01/2022 20:35;20/01/2022 23:20;20/01/2022 23:30
DDD;Moega LLL;2658191;Soja;20/01/2022 18:20;20/01/2022 20:35;20/01/2022 23:20;20/01/2022 23:30
DDD;Moega LLL;3752819;Soja;20/01/2022 18:20;20/01/2022 20:35;20/01/2022 23:30;20/01/2022 23:40
DDD;Moega LLL;6157250;Soja;20/01/2022 18:20;20/01/2022 20:35;20/01/2022 23:30;20/01/2022 23:40
DDD;Moega LLL;6445921;Soja;20/01/2022 18:20;20/01/2022 20:35;20/01/2022 23:30;20/01/2022 23:40
DDD;Moega LLL;6117116;Soja;20/01/2022 18:20;20/01/2022 20:35;20/01/2022 23:40;20/01/2022 23:50
DDD;Moega LLL;296033;Soja;20/01/2022 18:20;20/01/2022 20:35;20/01/2022 23:40;20/01/2022 23:50
DDD;Moega LLL;3677866;Soja;20/01/2022 18:20;20/01/2022 20:35;20/01/2022 23:40;20/01/2022 23:50
DDD;Moega LLL;3717884;Soja;12/01/2022 19:03;12/01/2022 21:20;12/01/2022 22:43;12/01/2022 22:47
DDD;Moega LLL;4986321;Soja;12/01/2022 19:03;12/01/2022 21:20;12/01/2022 22:44;12/01/2022 22:48
DDD;Moega LLL;6355746;Soja;12/01/2022 19:03;12/01/2022 21:20;12/01/2022 22:45;12/01/2022 22:49
DDD;Moega LLL;343619;Soja;12/01/2022 19:03;12/01/2022 21:20;12/01/2022 22:54;12/01/2022 23:19
DDD;Moega LLL;8225316;Soja;12/01/2022 19:03;12/01/2022 21:20;12/01/2022 22:54;12/01/2022 23:19
DDD;Moega LLL;6600705;Soja;12/01/2022 19:03;12/01/2022 21:20;12/01/2022 22:55;12/01/2022 23:19
DDD;Moega LLL;570093;Soja;12/01/2022 19:03;12/01/2022 21:20;12/01/2022 23:20;12/01/2022 23:30
DDD;Moega LLL;7003640;Soja;12/01/2022 19:03;12/01/2022 21:20;12/01/2022 23:20;12/01/2022 23:30
DDD;Moega LLL;3422532;Soja;12/01/2022 19:03;12/01/2022 21:20;12/01/2022 23:20;12/01/2022 23:30
DDD;Moega LLL;7509866;Soja;12/01/2022 19:03;12/01/2022 21:20;12/01/2022 23:30;12/01/2022 23:38
DDD;Moega LLL;5286025;Soja;12/01/2022 19:03;12/01/2022 21:20;12/01/2022 23:30;12/01/2022 23:38
DDD;Moega LLL;4711862;Soja;12/01/2022 19:03;12/01/2022 21:20;12/01/2022 23:30;12/01/2022 23:38
DDD;Moega LLL;1470531;Soja;12/01/2022 19:03;12/01/2022 21:20;12/01/2022 23:44;12/01/2022 23:59
DDD;Moega LLL;6425250;Soja;12/01/2022 19:03;12/01/2022 21:20;12/01/2022 23:44;12/01/2022 23:59
DDD;Moega LLL;6845961;Soja;12/01/2022 19:03;12/01/2022 21:20;12/01/2022 23:47;12/01/2022 23:59
DDD;Moega LLL;7499328;Soja;16/01/2022 22:13;17/01/2022 00:34;17/01/2022 01:29;17/01/2022 01:40
DDD;Moega LLL;7458442;Soja;16/01/2022 22:13;17/01/2022 00:34;17/01/2022 01:29;17/01/2022 01:40
DDD;Moega LLL;7501852;Soja;16/01/2022 22:13;17/01/2022 00:34;17/01/2022 01:29;17/01/2022 01:40
DDD;Moega LLL;655034;Soja;16/01/2022 22:13;17/01/2022 00:34;17/01/2022 01:40;17/01/2022 01:54
DDD;Moega LLL;7160689;Soja;16/01/2022 22:13;17/01/2022 00:34;17/01/2022 01:40;17/01/2022 01:54
DDD;Moega LLL;1006401;Soja;16/01/2022 22:13;17/01/2022 00:34;17/01/2022 01:40;17/01/2022 01:55
DDD;Moega LLL;3473205;Soja;16/01/2022 22:13;17/01/2022 00:34;17/01/2022 01:57;17/01/2022 02:08
DDD;Moega LLL;6898015;Soja;16/01/2022 22:13;17/01/2022 00:34;17/01/2022 01:57;17/01/2022 02:08
DDD;Moega LLL;7366319;Soja;16/01/2022 22:13;17/01/2022 00:34;17/01/2022 01:57;17/01/2022 02:08
DDD;Moega LLL;7506730;Soja;16/01/2022 22:13;17/01/2022 00:34;17/01/2022 02:09;17/01/2022 02:19
DDD;Moega LLL;7015712;Soja;16/01/2022 22:13;17/01/2022 00:34;17/01/2022 02:09;17/01/2022 02:19
DDD;Moega LLL;2214501;Soja;16/01/2022 22:13;17/01/2022 00:34;17/01/2022 02:09;17/01/2022 02:19
DDD;Moega LLL;5573257;Soja;16/01/2022 22:13;17/01/2022 00:34;17/01/2022 02:25;17/01/2022 02:42
